# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
7SK	ENSG00000254144	ENST00000408472	misc_RNA	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
7SK	ENSG00000254144	ENST00000517300	antisense	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
AARD	ENSG00000205002	ENST00000378279	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARD	ENSG00000205002	ENST00000523536	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AB015752.3	ENSG00000254180	ENST00000521975	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ABRA	ENSG00000174429	ENST00000311955	protein_coding	0	3	0	3	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0
AC012215.1	ENSG00000233863	ENST00000437887	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC013751.1	ENSG00000221137	ENST00000408210	miRNA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC023590.1	ENSG00000225885	ENST00000430457	processed_transcript	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
AC023632.1	ENSG00000212997	ENST00000391679	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC024996.1	ENSG00000264794	ENST00000582664	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC032027.1	ENSG00000197334	ENST00000359385	pseudogene	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
AC037459.4	ENSG00000248235	ENST00000430850	protein_coding	0	0	0	16	0	0	0	0	0	0	5	0	9	0	0	0	0	0	0	0	0	0	2
AC037459.4	ENSG00000248235	ENST00000447849	protein_coding	0	0	0	18	0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	0	0	2
AC037459.4	ENSG00000248235	ENST00000450780	protein_coding	0	0	0	22	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	2
AC051642.1	ENSG00000268085	ENST00000595539	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC068522.4	ENSG00000242970	ENST00000482895	processed_pseudogene	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1
AC084125.1	ENSG00000255681	ENST00000536320	pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC084125.4	ENSG00000232600	ENST00000442850	antisense	0	0	0	17	0	0	0	0	0	0	10	0	1	0	1	0	0	0	0	0	0	0	5
AC084125.4	ENSG00000232600	ENST00000544423	antisense	0	1	0	21	0	0	0	0	0	0	12	0	3	0	1	0	0	1	0	0	0	0	6
AC087203.1	ENSG00000265826	ENST00000580058	miRNA	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
AC087269.1	ENSG00000176305	ENST00000389800	pseudogene	0	0	0	15	0	0	0	0	0	0	2	0	0	0	12	0	0	0	0	0	0	0	1
AC087793.1	ENSG00000263660	ENST00000585120	miRNA	0	0	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1
AC090186.1	ENSG00000232941	ENST00000415643	protein_coding	0	0	1	35	2	0	1	0	0	0	32	0	0	1	0	0	0	0	0	0	0	0	0
AC090420.1	ENSG00000251963	ENST00000516154	miRNA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC091171.1	ENSG00000256586	ENST00000436711	pseudogene	0	0	0	18	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	11
AC103686.1	ENSG00000211562	ENST00000390136	miRNA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC105206.1	ENSG00000177725	ENST00000314927	pseudogene	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
AC109335.1	ENSG00000266491	ENST00000578628	miRNA	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AC117834.1	ENSG00000212999	ENST00000391681	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AC120194.1	ENSG00000213002	ENST00000391684	protein_coding	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC136365.1	ENSG00000221018	ENST00000408091	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC145124.1	ENSG00000266637	ENST00000579282	miRNA	0	0	0	29	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	13
ADAM18	ENSG00000168619	ENST00000265707	protein_coding	0	3	0	16	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	2	0
ADAM18	ENSG00000168619	ENST00000379866	protein_coding	0	3	0	16	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	2	0
ADAM18	ENSG00000168619	ENST00000520001	nonsense_mediated_decay	0	1	0	5	1	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0
ADAM18	ENSG00000168619	ENST00000520087	nonsense_mediated_decay	0	1	0	19	1	0	0	0	0	0	0	0	17	0	2	0	0	1	0	0	0	0	0
ADAM18	ENSG00000168619	ENST00000520559	processed_transcript	0	1	0	3	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0
ADAM18	ENSG00000168619	ENST00000520772	protein_coding	0	2	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0
ADAM18	ENSG00000168619	ENST00000523755	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAM18	ENSG00000168619	ENST00000524117	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAM18	ENSG00000168619	ENST00000541111	protein_coding	0	1	0	18	0	0	2	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	0
ADAM2	ENSG00000104755	ENST00000265708	protein_coding	0	0	0	12	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	1
ADAM2	ENSG00000104755	ENST00000347580	protein_coding	0	0	0	12	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	1
ADAM2	ENSG00000104755	ENST00000379853	protein_coding	0	0	0	12	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	1
ADAM2	ENSG00000104755	ENST00000521880	protein_coding	0	0	0	12	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	1
ADAM2	ENSG00000104755	ENST00000523181	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
ADAM28	ENSG00000042980	ENST00000265769	protein_coding	0	2	1	17	5	0	0	0	0	0	0	0	14	1	0	0	0	2	0	0	0	0	0
ADAM28	ENSG00000042980	ENST00000397649	protein_coding	0	2	0	18	1	0	0	0	0	0	5	0	14	0	0	0	0	2	0	0	0	0	0
ADAM28	ENSG00000042980	ENST00000437154	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ADAM28	ENSG00000042980	ENST00000518326	protein_coding	0	1	0	15	1	0	0	0	0	0	12	0	2	0	0	0	0	0	0	0	0	1	0
ADAM28	ENSG00000042980	ENST00000518516	processed_transcript	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
ADAM28	ENSG00000042980	ENST00000518737	processed_transcript	0	0	0	16	0	0	0	0	0	0	12	0	2	0	2	0	0	0	0	0	0	0	0
ADAM28	ENSG00000042980	ENST00000520448	nonsense_mediated_decay	0	2	0	19	1	0	0	0	0	0	5	0	14	0	1	0	0	2	0	0	0	0	0
ADAM28	ENSG00000042980	ENST00000520665	retained_intron	0	0	0	16	0	0	0	0	0	0	12	0	2	0	2	0	0	0	0	0	0	0	0
ADAM28	ENSG00000042980	ENST00000521110	processed_transcript	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
ADAM28	ENSG00000042980	ENST00000521629	protein_coding	0	1	0	17	4	0	0	0	0	0	1	0	12	0	0	0	0	1	0	0	0	0	1
ADAM28	ENSG00000042980	ENST00000523236	retained_intron	0	0	0	14	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ADAM28	ENSG00000042980	ENST00000523379	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM28	ENSG00000042980	ENST00000523440	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAM28	ENSG00000042980	ENST00000540823	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
